StudID;Name;Course;Programm;Subject;Number;MaxTestScore;TestScore;TaskTheme;TaskDifficulty;TaskDone
0;Пупкин Василий Васильевич;2;ПИ;ППИ;1;15;9;цикл;1;1
0;Пупкин Василий Васильевич;2;ПИ;ППИ;1;15;9;цикл;1;1
0;Пупкин Василий Васильевич;2;ПИ;ППИ;1;15;9;цикл;1;1
0;Пупкин Василий Васильевич;2;ПИ;ППИ;1;15;9;цикл;1;0
0;Пупкин Василий Васильевич;2;ПИ;ППИ;1;15;9;цикл;1;1
0;Пупкин Василий Васильевич;2;ПИ;ППИ;1;15;9;цикл;1;1
0;Пупкин Василий Васильевич;2;ПИ;ППИ;1;15;9;цикл;1;0
0;Пупкин Василий Васильевич;2;ПИ;ППИ;1;15;9;цикл;2;1
0;Пупкин Василий Васильевич;2;ПИ;ППИ;1;15;9;цикл;3;1
0;Пупкин Василий Васильевич;2;ПИ;ППИ;1;15;9;цикл;4;0
1;Петрович Петр Петров;2;ПИ;ППИ;1;15;0;цикл;1;0
1;Петрович Петр Петров;2;ПИ;ППИ;1;15;0;цикл;1;0
1;Петрович Петр Петров;2;ПИ;ППИ;1;15;0;цикл;1;0
1;Петрович Петр Петров;2;ПИ;ППИ;1;15;0;цикл;1;0
1;Петрович Петр Петров;2;ПИ;ППИ;1;15;0;цикл;1;0
1;Петрович Петр Петров;2;ПИ;ППИ;1;15;0;цикл;1;0
1;Петрович Петр Петров;2;ПИ;ППИ;1;15;0;цикл;1;0
1;Петрович Петр Петров;2;ПИ;ППИ;1;15;0;цикл;2;0
1;Петрович Петр Петров;2;ПИ;ППИ;1;15;0;цикл;3;0
1;Петрович Петр Петров;2;ПИ;ППИ;1;15;0;цикл;4;0
;;;;;;;;;;
;;;;;;;;;;
